date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:15:31	395/395	---M--	200	added ('OK')	text/plain	date:Thu,%2003%20Jun%202021%2020:07:16%20GMT	https://artweber.ro/robots.txt		(from )
13:15:31	42412/42412	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:32%20GMT	https://artweber.ro/	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/index.html	(from )
13:15:32	149271/149271	---MC-	200	added ('OK')	text/javascript	date:Sat,%2008%20Jan%202022%2011:15:32%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-4084293060742207	C:/My%20Web%20Sites/nentin%20corporation/pagead2.googlesyndication.com/pagead/js/f5be8.txt	(from https://artweber.ro/)
13:15:32	961/961	---MC-	200	added ('OK')	application/xml	date:Sat,%2008%20Jan%202022%2011:15:33%20GMT	https://artweber.ro/index.php?do=opensearch	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/indexeb9d.php	(from https://artweber.ro/)
13:15:32	29439/29439	---MC-	200	added ('OK')	application/xml	date:Sat,%2008%20Jan%202022%2011:15:33%20GMT	https://artweber.ro/rss.xml	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/rss.xml	(from https://artweber.ro/)
13:15:32	6585/6585	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Jul%202021%2012:10:31%20GMT	https://artweber.ro/templates/BOOTBLOG/images/batch-script--v1.png	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/templates/BOOTBLOG/images/batch-script--v1.png	(from https://artweber.ro/)
13:15:33	250369/250369	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Jun%202021%2020:14:09%20GMT	https://artweber.ro/templates/BOOTBLOG/css/materialdesignicons.min.css	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/templates/BOOTBLOG/css/materialdesignicons.min.css	(from https://artweber.ro/)
13:15:33	330484/330484	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2016:52:13%20GMT	https://artweber.ro/templates/BOOTBLOG/css/light.css	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/templates/BOOTBLOG/css/light.css	(from https://artweber.ro/)
13:15:33	63196/63196	---M--	200	added ('OK')	text/css	date:Wed,%2018%20Aug%202021%2010:00:49%20GMT	https://artweber.ro/templates/BOOTBLOG/css/engine.css	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/templates/BOOTBLOG/css/engine.css	(from https://artweber.ro/)
13:15:33	22007/22007	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Aug%202021%2010:00:21%20GMT	https://artweber.ro/templates/BOOTBLOG/css/avatars.css	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/templates/BOOTBLOG/css/avatars.css	(from https://artweber.ro/)
13:15:34	26811/26811	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Jan%202022%2011:15:35%20GMT	https://artweber.ro/d1.pandashare.me	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/d1.pandashare.me	(from https://artweber.ro/)
13:15:34	26811/26811	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Jan%202022%2011:15:35%20GMT	https://artweber.ro/d2.pandashare.me	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/d2.pandashare.me	(from https://artweber.ro/)
13:15:34	31610/31610	---M-Z	200	added ('OK')	application/x-javascript	etag:%227b7a-61b93dd5-5cf3c6faa0131126;gz%22	https://cdn.adf.ly/js/link-converter.js	C:/My%20Web%20Sites/nentin%20corporation/cdn.adf.ly/js/link-converter.js	(from https://artweber.ro/)
13:15:35	198372/198372	---M-Z	200	added ('OK')	application/javascript	etag:%2261cad352-126b4%22	https://mc.yandex.ru/metrika/tag.js	C:/My%20Web%20Sites/nentin%20corporation/mc.yandex.ru/metrika/tag.js	(from https://artweber.ro/)
13:15:35	92629/92629	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	C:/My%20Web%20Sites/nentin%20corporation/ajax.googleapis.com/ajax/libs/jquery/1.9.1/jquery.min.js	(from https://artweber.ro/)
13:15:36	42513/42513	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:37%20GMT	https://artweber.ro/wordpress/	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/wordpress/index.html	(from https://artweber.ro/)
13:15:36	28522/28522	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:36%20GMT	https://artweber.ro/index.php?do=register	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/indexf59b.html	(from https://artweber.ro/)
13:15:36	39852/39852	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:37%20GMT	https://artweber.ro/woocommerce/	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/woocommerce/index.html	(from https://artweber.ro/)
13:15:36	42670/42670	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:37%20GMT	https://artweber.ro/wordpress/wp-themes/	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/wordpress/wp-themes/index.html	(from https://artweber.ro/)
13:15:36	42576/42576	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:37%20GMT	https://artweber.ro/wordpress/wp-plugins/	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/wordpress/wp-plugins/index.html	(from https://artweber.ro/)
13:15:36	35418/35418	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:37%20GMT	https://artweber.ro/woocommerce/woocommerce-themes/	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/woocommerce/woocommerce-themes/index.html	(from https://artweber.ro/)
13:15:37	27028/27028	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:38%20GMT	https://artweber.ro/index.php?do=lostpassword	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/indexb26f.html	(from https://artweber.ro/)
13:15:37	31982/31982	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:38%20GMT	https://artweber.ro/woocommerce/woocommerce-plugins/	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/woocommerce/woocommerce-plugins/index.html	(from https://artweber.ro/)
13:15:37	40923/40923	---M-Z	200	added ('OK')	text/html	date:Sat,%2008%20Jan%202022%2011:15:38%20GMT	https://artweber.ro/xenforo/	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/xenforo/index.html	(from https://artweber.ro/)
13:15:37	38483/38483	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Jan%202022%2012:56:14%20GMT	https://artweber.ro/308-ablon-html-pentru-site-ul-companiei-de-gzduire-protectly.html	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/308-ablon-html-pentru-site-ul-companiei-de-gzduire-protectly.html	(from https://artweber.ro/)
13:15:37	26842/26842	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Jan%202022%2011:15:38%20GMT	https://artweber.ro/xenforo/xenforo-releases/	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/xenforo/xenforo-releases/index.html	(from https://artweber.ro/)
13:15:37	14836/14836	---M--	200	added ('OK')	image/jpeg	date:Sat,%2001%20Jan%202022%2010:54:59%20GMT	https://artweber.ro/uploads/posts/2022-01/thumbs/1641034527_protectly-1.jpg	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/uploads/posts/2022-01/thumbs/1641034527_protectly-1.jpg	(from https://artweber.ro/)
13:15:38	37710/37710	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Dec%202021%2021:07:37%20GMT	https://artweber.ro/307-hostx-v205-ablon-de-gzduire-premium.html	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/307-hostx-v205-ablon-de-gzduire-premium.html	(from https://artweber.ro/)
13:15:38	18631/18631	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Dec%202021%2019:05:51%20GMT	https://artweber.ro/uploads/posts/2021-12/thumbs/1640545581_preview___large_preview.jpg	C:/My%20Web%20Sites/nentin%20corporation/artweber.ro/uploads/posts/2021-12/thumbs/1640545581_preview___large_preview.jpg	(from https://artweber.ro/)
